,Dataset,Method,Mask Type,Ratio,Avg MSE,STD of MSE,Avg Acc,STD of Acc
225,news,GAIN,MCAR,0.5,122.97252570087616,85.98658716145525,16.86154749210599,0.2774227466270326
226,news,GAIN,MCAR,0.75,152.0944990464749,65.74419921982282,17.33195315847368,0.181013590115289
227,news,GAIN,MNAR,0.25,142.93943590284755,124.9903372405642,16.663004043687778,1.11007669752325
228,news,GAIN,MNAR,0.5,161.2867521362428,103.19366201382658,16.93406032054282,0.8554625845354948
229,news,GAIN,MNAR,0.75,174.9635747877614,60.766620211271416,17.5958643301883,0.1573220380921807
230,shoppers,GAIN,MAR,0.25,1.6717946462432862,0.2587378002245956,41.24661136069916,7.7019242044010205
231,shoppers,GAIN,MAR,0.5,3.860312791204602,1.2034744368893333,27.057815326043915,8.020762349335824
232,shoppers,GAIN,MAR,0.75,14.850117042369124,1.522041453774624,17.608994300443108,4.590288883233296
233,shoppers,GAIN,MCAR,0.25,1.82390228056323,0.0277929585990131,45.43398073819774,0.4279429745444862
234,shoppers,GAIN,MCAR,0.5,4.6430990598897335,0.0290526677076708,32.44668595120142,0.2046905726296845
235,shoppers,GAIN,MCAR,0.75,13.06867443856882,0.0506488953464307,19.265005725520105,0.1288315040546919
236,shoppers,GAIN,MNAR,0.25,1.7738677926090276,0.1325279892396945,44.5637114253191,0.9376264200154152
237,shoppers,GAIN,MNAR,0.5,4.599019702490497,0.1791952303568207,32.059283932198134,0.5614174495334106
238,shoppers,GAIN,MNAR,0.75,13.417112898616995,0.5610169799091461,19.132982120180515,0.5572452271354106
239,adult,Hyperimpute,MAR,0.25,1.0468086477746752,0.1495051905844387,54.7019349129088,8.908158402030042
240,adult,Hyperimpute,MAR,0.5,1.8863102005006247,0.1066745705966366,47.26238182214806,4.63013360270564
241,adult,Hyperimpute,MAR,0.75,1.647454771611521,0.1971385307578493,47.91350450483858,2.233220513387978
242,adult,Hyperimpute,MCAR,0.25,0.9446127702247118,0.0356293775639314,52.45518936885215,0.2282919558769523
243,adult,Hyperimpute,MCAR,0.5,1.356690925782985,0.0376092378363507,44.10267668772688,1.0126157803650528
244,adult,Hyperimpute,MCAR,0.75,1.578699324332025,0.3158380584794695,39.94482810624546,2.6996384828251614
245,adult,Hyperimpute,MNAR,0.25,0.9315904726354908,0.0860805801906667,50.305704290480925,5.633029955605293
246,adult,Hyperimpute,MNAR,0.5,1.6593827924221825,0.4356992656308523,43.72877782894652,2.6273256738620754
247,adult,Hyperimpute,MNAR,0.75,1.6784756283217874,0.1764520080165698,39.70903246464822,2.1795158177014
248,bean,Hyperimpute,MAR,0.25,0.1216690432481878,0.0405507953776362,,
249,bean,Hyperimpute,MAR,0.5,0.229158747712638,0.06255652610638,,
250,bean,Hyperimpute,MAR,0.75,0.4443369178527637,0.048221424244679,,
251,bean,Hyperimpute,MCAR,0.25,0.0891885070208158,0.0025159379843265,,
252,bean,Hyperimpute,MCAR,0.5,0.176903705960112,0.0097864541874641,,
253,bean,Hyperimpute,MCAR,0.75,0.4531743345557372,0.0513417226217951,,
254,bean,Hyperimpute,MNAR,0.25,0.1047746846707559,0.0234466172607792,,
255,bean,Hyperimpute,MNAR,0.5,0.1910755135034384,0.0266685269727177,,
256,bean,Hyperimpute,MNAR,0.75,0.5239932300687514,0.1272723370563098,,
257,california,Hyperimpute,MAR,0.25,0.2756121298351922,0.0346549365993599,,
258,california,Hyperimpute,MAR,0.5,0.5721297723145062,0.0471777762798547,,
259,california,Hyperimpute,MAR,0.75,0.7927947834550866,0.0398656196939146,,
260,california,Hyperimpute,MCAR,0.25,0.2823729746969887,0.0183646211066845,,
261,california,Hyperimpute,MCAR,0.5,0.4899925764097211,0.0114621226027858,,
262,california,Hyperimpute,MCAR,0.75,0.7790415953821915,0.0220003201434983,,
263,california,Hyperimpute,MNAR,0.25,0.3139756558856824,0.0551062917105251,,
264,california,Hyperimpute,MNAR,0.5,0.5005792566022057,0.0704721276920377,,
265,california,Hyperimpute,MNAR,0.75,0.7763530082512438,0.0562871780730711,,
266,default,Hyperimpute,MAR,0.25,0.5335748013328326,0.1221000015353028,76.55286521964777,2.4432981649309573
267,default,Hyperimpute,MAR,0.5,0.5758434064926949,0.0677782242328416,62.84280906473956,2.835934991451261
268,default,Hyperimpute,MAR,0.75,0.797189868784548,0.1740651382560765,59.11443396425248,3.012675122408329
269,default,Hyperimpute,MCAR,0.25,0.3630550293262707,0.0290615351246453,75.30174800009657,0.2663148731096582
270,default,Hyperimpute,MCAR,0.5,0.4895377541126476,0.025192450362723,65.80350992256955,0.3586824572929551
271,default,Hyperimpute,MCAR,0.75,0.7259070176134558,0.0193399427411166,58.82665506227244,1.73754064383049
272,default,Hyperimpute,MNAR,0.25,0.4828880496282283,0.1080757785755724,72.76870641398824,3.6229835947279088
273,default,Hyperimpute,MNAR,0.5,0.5248714723068034,0.0932714424652375,66.13305703563101,0.9389910505206394
274,default,Hyperimpute,MNAR,0.75,0.6801578921203495,0.0640744978854851,58.331245274871,2.809890810219408
275,gesture,Hyperimpute,MAR,0.25,0.5118235468589099,0.0371858401553962,,
276,gesture,Hyperimpute,MAR,0.5,0.6060345322850129,0.0749693955362148,,
277,gesture,Hyperimpute,MAR,0.75,0.7798475181843475,0.0414116356073991,,
278,gesture,Hyperimpute,MCAR,0.25,0.4528041651665171,0.0174530896007569,,
279,gesture,Hyperimpute,MCAR,0.5,0.6116400719981986,0.0203019482473166,,
280,gesture,Hyperimpute,MCAR,0.75,0.8263308183109748,0.0197128046469272,,
281,gesture,Hyperimpute,MNAR,0.25,0.562256934158119,0.0690441419350015,,
282,gesture,Hyperimpute,MNAR,0.5,0.641408943157845,0.0613630474733281,,
283,gesture,Hyperimpute,MNAR,0.75,0.7978464518926474,0.0533710181490739,,
284,letter,Hyperimpute,MAR,0.25,0.3588025260820778,0.0264894420167981,,
285,letter,Hyperimpute,MAR,0.5,0.7430595645237117,0.0548533857582908,,
286,letter,Hyperimpute,MAR,0.75,0.9412156244257824,0.0521680973138313,,
287,letter,Hyperimpute,MCAR,0.25,0.308415516576842,0.0099509440056043,,
288,letter,Hyperimpute,MCAR,0.5,0.6580497247557234,0.045932224124553,,
289,letter,Hyperimpute,MCAR,0.75,0.8900242870111468,0.0046304136378499,,
290,letter,Hyperimpute,MNAR,0.25,0.3176860783561734,0.0164381038086721,,
291,letter,Hyperimpute,MNAR,0.5,0.697379259315878,0.0471775130652163,,
292,letter,Hyperimpute,MNAR,0.75,0.900913100914147,0.0303898169771661,,
293,magic,Hyperimpute,MAR,0.25,0.5854921626851008,0.1430866978057249,,
294,magic,Hyperimpute,MAR,0.5,0.6737507865026621,0.0869448262015469,,
295,magic,Hyperimpute,MAR,0.75,0.8642412641665704,0.0686123396464002,,
296,magic,Hyperimpute,MCAR,0.25,0.4782618409342913,0.0148878953625272,,
297,magic,Hyperimpute,MCAR,0.5,0.5999104671316572,0.0154477813505675,,
298,magic,Hyperimpute,MCAR,0.75,0.8609218102669111,0.0161878111757224,,
299,magic,Hyperimpute,MNAR,0.25,0.5304033053978032,0.0841057151527436,,
300,magic,Hyperimpute,MNAR,0.5,0.5771251339281059,0.0541502286891627,,
301,magic,Hyperimpute,MNAR,0.75,0.8172684636313248,0.0782061595974553,,
302,news,Hyperimpute,MAR,0.25,219.4872676861517,158.13869833994767,42.59392637809234,7.781973334968444
303,news,Hyperimpute,MAR,0.5,145.70338708178505,126.2847661829916,36.84890867181229,6.828411706309705
304,news,Hyperimpute,MAR,0.75,192.48366183755343,25.663303953790543,22.28299614627928,4.867996635070898
305,news,Hyperimpute,MCAR,0.25,335.76822203626244,293.78327097420663,39.43503128340981,0.5503940068998763
306,news,Hyperimpute,MCAR,0.5,171.82858882432654,102.79520864571816,34.11079794084061,2.068902829375373
307,news,Hyperimpute,MCAR,0.75,140.9262547641331,70.90781881935158,26.139875368351664,3.5998266171123223
